cut_content,text,keyword1,keyword2,keyword3,similarity_score
挣 工分 那 我 觉得 我 今天 分够 了   是不是 病人 有 痰   我 想吸 就 吸 不想 吸 就 不吸 这个 病人 我 想 看 就 看 不想 看 就 不 看 [ 微笑 ]   那 也 挺 好,挣 工分 那 我 觉得 我 今天 分够 了   是不是 病人 有 痰   我 想吸 就 吸 不想 吸 就 不吸 这个 病人 我 想 看 就 看 不想 看 就 不 看 [ 微笑 ]   那 也 挺 好,据我所知,在我看来,自我感觉,0.81927955
以后 我 小孩 不 学医 了 医学生 苦得 很 读个 7 年 8 年 毕业 出来 还 没 初中 毕业 学 理发 的 赚 的 多,以后 我 小孩 不 学医 了 医学生 苦得 很 读个 7 年 8 年 毕业 出来 还 没 初中 毕业 学 理发 的 赚 的 多,医科大学,医学知识,医学专业,0.78589976
既 是 自负盈亏 又 要 受 工分 制 文件 限薪 怎么 调动 劳动 积极性,既 是 自负盈亏 又 要 受 工分 制 文件 限薪 怎么 调动 劳动 积极性,资产负债率,非常感谢,劳动所得,0.8635838
学医 确实 很多 的 初衷 是 利国利民 但 你 也 不能 因为 这个 就让 为 爱 发电 啊 [ 哭 惹 ],学医 确实 很多 的 初衷 是 利国利民 但 你 也 不能 因为 这个 就让 为 爱 发电 啊 [ 哭 惹 ],医学院校,医学知识,医学专业,0.85200745
屁股 决定 脑袋 的 改革 从此 会 导致 公立医院 医疗 质量 医疗 服务态度 一落千丈 择期 手术 你 就 老老实实 等 着 安排 吧 医护 工作 积极性 严重 受挫 准备 学医 的 孩子 和 家长 要 好好 考虑 考虑 了 祸国殃民,屁股 决定 脑袋 的 改革 从此 会 导致 公立医院 医疗 质量 医疗 服务态度 一落千丈 择期 手术 你 就 老老实实 等 着 安排 吧 医护 工作 积极性 严重 受挫 准备 学医 的 孩子 和 家长 要 好好 考虑 考虑 了 祸国殃民,角色定位,冲锋在前,资产负债率,0.7288399
这个 改制 的 意义 是 为了 减少 以后 报考 医学院 吗,这个 改制 的 意义 是 为了 减少 以后 报考 医学院 吗,这样的话,总的来说,死死的,0.85564935
2025 年 了 还 能 看到 工分 这 两个 字 到底 是 我 大 中国 地大物博 无奇不有 [ 鄙视 ],2025 年 了 还 能 看到 工分 这 两个 字 到底 是 我 大 中国 地大物博 无奇不有 [ 鄙视 ],莫名其妙,在我看来,敌我矛盾,0.65145993
工分 由 科室 主任 进行 二次 分配 这个 是 最大 的 问题,工分 由 科室 主任 进行 二次 分配 这个 是 最大 的 问题,功能强大,刊七大刊,这样的话,0.850301
中国 的 医生 比 非洲 的 医生 收入 及 地位 还 低,中国 的 医生 比 非洲 的 医生 收入 及 地位 还 低,利国利民,祸国殃民,遍布全国,0.8296746
到时候 好 医生 都 出国 了 就 老实 了 [ doge ],到时候 好 医生 都 出国 了 就 老实 了 [ doge ],遍布全国,利国利民,祸国殃民,0.77712166
本人 不巧 前面 刚 做 了 相关 研究 请 你 标明 数据 出处 好 吧 根据 三明 本市 的 数据 医改 后 三明市 存在 医护 工作者 一万 人 左右 每年 离职 人数 40 左右 和 医改 前 并 无差别 这些 数据 在 知网 都 可查 的 不要 盲目 唱衰,本人 不巧 前面 刚 做 了 相关 研究 请 你 标明 数据 出处 好 吧 根据 三明 本市 的 数据 医改 后 三明市 存在 医护 工作者 一万 人 左右 每年 离职 人数 40 左右 和 医改 前 并 无差别 这些 数据 在 知网 都 可查 的 不要 盲目 唱衰,个人所得税,个人感觉,个人观点,0.80225563
说 医生 都 跳槽 到 私立 医院 的 有没有 了解 过 除了 大城市 的 顶级 私立 医院 普通 城市 的 私人 医院 哪个 不是 吃 医保 的 才能 活 的 下去 的 [ 捂脸 ],说 医生 都 跳槽 到 私立 医院 的 有没有 了解 过 除了 大城市 的 顶级 私立 医院 普通 城市 的 私人 医院 哪个 不是 吃 医保 的 才能 活 的 下去 的 [ 捂脸 ],这样的话,总的来说,莫名其妙,0.76017106
酸 医生 工资 高有 回扣 的 下辈子 都 学医 [ 赞 ] 上 几个 夜班 就 老实 了,酸 医生 工资 高有 回扣 的 下辈子 都 学医 [ 赞 ] 上 几个 夜班 就 老实 了,医学院校,医学知识,医学专业,0.8098197
之前 看到 一条 评论 很 贴切 就是 把 医生 也 集采 了 嘛 优秀 的 医生 可以 去 私立 中外合资 甚至 出国 都 很 受欢迎 也 听说 今年 执业 医 考试 会 简单 在 鼓励 一些 久考 不过 的 人 报名 了 但 都 是 小道消息 大家 都 在 观望 但 还要 怀着 希望 嘛 总归 会 有 出路,之前 看到 一条 评论 很 贴切 就是 把 医生 也 集采 了 嘛 优秀 的 医生 可以 去 私立 中外合资 甚至 出国 都 很 受欢迎 也 听说 今年 执业 医 考试 会 简单 在 鼓励 一些 久考 不过 的 人 报名 了 但 都 是 小道消息 大家 都 在 观望 但 还要 怀着 希望 嘛 总归 会 有 出路,提前退休,莫名其妙,技术水平,0.76188314
因为 推行 的 人 永远 不会 缺 医生 看病 至于 真的 缺 医生 的 百姓 根本 决定 不了 什么,因为 推行 的 人 永远 不会 缺 医生 看病 至于 真的 缺 医生 的 百姓 根本 决定 不了 什么,这样的话,总的来说,关系不大,0.8082807
大 三甲 已经 有 应对 方式 譬如 华西 的 应对 方式 是 在 上 锦 等 基础 上连开 多家 私人 出资 委托 华西 管理 的 医院 医护 轮岗 交替 在 本部 和 托管 医院 上班 要 硬 按 三明 那么 托管 医院 部分 应该 可以 作为 应 发足发 渠道 只是 很多 60 刚退 年富力强 的 大 主任 大 专家 肯定 就 不会 返聘 了 私立 医院 几倍 走起 吧,大 三甲 已经 有 应对 方式 譬如 华西 的 应对 方式 是 在 上 锦 等 基础 上连开 多家 私人 出资 委托 华西 管理 的 医院 医护 轮岗 交替 在 本部 和 托管 医院 上班 要 硬 按 三明 那么 托管 医院 部分 应该 可以 作为 应 发足发 渠道 只是 很多 60 刚退 年富力强 的 大 主任 大 专家 肯定 就 不会 返聘 了 私立 医院 几倍 走起 吧,功能强大,刊七大刊,绝大多数,0.7638039
最后 倒霉 的 还是 老百姓 都 花 高价 去 私立 医院 看比 以前 还 不如,最后 倒霉 的 还是 老百姓 都 花 高价 去 私立 医院 看比 以前 还 不如,关系不大,值不值得,需不需要,0.8245819
不是 这个 改革 到底 有 什么 意义 对 患者 也 不好 对 医生 也 不好,不是 这个 改革 到底 有 什么 意义 对 患者 也 不好 对 医生 也 不好,解决不了,在所不惜,何乐不为,0.8669417
三明 医改 对 基层医院 的 医生 是 好事 这些 医生 大多 是 专科 本科 的 所在 医院 病人 少 收入 也 低 但 对 全国 三甲 医院 特别 是 顶尖 的 医疗机构 就是 灾难 这些 医生 一般 都 是 博士 博士后 或者 在 全国 甚至 全球 都 有 影响力 的 大 专家 被限薪 30 万 [ doge ]   而 金融业 随便 上百万 网红 轻轻松松 几千万 收入 听说 过 中科院 上 百名 博士 集体 出逃 到 公司 的 新闻 吧,三明 医改 对 基层医院 的 医生 是 好事 这些 医生 大多 是 专科 本科 的 所在 医院 病人 少 收入 也 低 但 对 全国 三甲 医院 特别 是 顶尖 的 医疗机构 就是 灾难 这些 医生 一般 都 是 博士 博士后 或者 在 全国 甚至 全球 都 有 影响力 的 大 专家 被限薪 30 万 [ doge ]   而 金融业 随便 上百万 网红 轻轻松松 几千万 收入 听说 过 中科院 上 百名 博士 集体 出逃 到 公司 的 新闻 吧,马来西亚,功能强大,莫名其妙,0.6983626
我 发帖子 只是 因为 经常 刷到 网上 有人 想 了解   三明 医改 后   真实 的 收入 包括 我 外地 的 医生 朋友 也 一直 都 有 在 问 正好 最近 核算 工分 发了 年薪 所以 就 分享 了 一下 我 发帖 的 时候 也 写明 了 是 三明 的 县城 的 工资水平 没有 想 制造 焦虑 各地 各有不同 情况 不一 我 的 情况 只是 供 大家 参考,我 发帖子 只是 因为 经常 刷到 网上 有人 想 了解   三明 医改 后   真实 的 收入 包括 我 外地 的 医生 朋友 也 一直 都 有 在 问 正好 最近 核算 工分 发了 年薪 所以 就 分享 了 一下 我 发帖 的 时候 也 写明 了 是 三明 的 县城 的 工资水平 没有 想 制造 焦虑 各地 各有不同 情况 不一 我 的 情况 只是 供 大家 参考,据我所知,在我看来,自我感觉,0.79406595
念 了 五年 本科 三年 硕士 三年 博士 出来 只有 五千 工资 [ 汗颜 ] 这 还有 人 说 工资 高 再 怎么 说 博士 也 算 高端 人才 了 吧 拿 五千 工资 简直 笑死人 了 反正 以后 谁 学医 我 笑 谁 [ 微笑 ],念 了 五年 本科 三年 硕士 三年 博士 出来 只有 五千 工资 [ 汗颜 ] 这 还有 人 说 工资 高 再 怎么 说 博士 也 算 高端 人才 了 吧 拿 五千 工资 简直 笑死人 了 反正 以后 谁 学医 我 笑 谁 [ 微笑 ],个人所得税,据我所知,恕我直言,0.7262763
我 妈妈 县 医院 收费员 退休 都 有 四千   之前 上班 的 时候 月工资 六七千   还 逼 我 现在 来 学医   还是 大专 中医   以后 工资 都 没有 她 退休 工资 高,我 妈妈 县 医院 收费员 退休 都 有 四千   之前 上班 的 时候 月工资 六七千   还 逼 我 现在 来 学医   还是 大专 中医   以后 工资 都 没有 她 退休 工资 高,敌我矛盾,在我看来,恕我直言,0.82395434
评论 太多 看 不 过来 挑 几个 问题 回答   我们 平常 怎么 发工资 我们 是 按照 年薪制 来 不 讲 绩效 和 奖金 啥 的 每个 月 先 预发 一部分 预发 工资 其实 就 相当于 每个 月 的 基本工资 预发 工资 有 几个 档位 可以 选择 我 是 选择 最低 的 档位 每个 月 到手 大概 2000 左右 年终 会 统计 工分 算出 这 一年 的 年薪 把 一年 的 年薪 扣掉 这 一年 已经 预发 的 工资 就是 年底 最终 发 的 钱 如果 平常 预发 多 年底 发 的 钱 就 会少 大概 是 这样 的,评论 太多 看 不 过来 挑 几个 问题 回答   我们 平常 怎么 发工资 我们 是 按照 年薪制 来 不 讲 绩效 和 奖金 啥 的 每个 月 先 预发 一部分 预发 工资 其实 就 相当于 每个 月 的 基本工资 预发 工资 有 几个 档位 可以 选择 我 是 选择 最低 的 档位 每个 月 到手 大概 2000 左右 年终 会 统计 工分 算出 这 一年 的 年薪 把 一年 的 年薪 扣掉 这 一年 已经 预发 的 工资 就是 年底 最终 发 的 钱 如果 平常 预发 多 年底 发 的 钱 就 会少 大概 是 这样 的,在我看来,据我所知,敌我矛盾,0.75607055
高学历 学医 的 我 真的 心疼 你们 [ 捂脸 ] 这么 好 的 学历 学个 计算机 什么 的 毕业 进 大厂 780 万 年薪 都 有 可能   偏偏 学医   都 说 熬 一熬   寒窗 苦读 十几二十年 换来 这么 点 工资 身体 都 不 知道 差成 什么样 了   600 多 的 高考 分 换来 更苦 的 后半生,高学历 学医 的 我 真的 心疼 你们 [ 捂脸 ] 这么 好 的 学历 学个 计算机 什么 的 毕业 进 大厂 780 万 年薪 都 有 可能   偏偏 学医   都 说 熬 一熬   寒窗 苦读 十几二十年 换来 这么 点 工资 身体 都 不 知道 差成 什么样 了   600 多 的 高考 分 换来 更苦 的 后半生,医学专业,医学院校,医学知识,0.7379881
现在 不是 在 鼓励 引进外资 和 民营 吗 不如 快速 混个 职称 然后 跳槽,现在 不是 在 鼓励 引进外资 和 民营 吗 不如 快速 混个 职称 然后 跳槽,可不可以,好不容易,苦不堪言,0.84413886
我哥 是 姜堰 人民 医院 骨科医生 加上 隐藏 收入 一年 几百万 没 问题 他 又 帅 又 牛 逼 是 我们 整个 家族 的 荣耀 [ 害羞 ],我哥 是 姜堰 人民 医院 骨科医生 加上 隐藏 收入 一年 几百万 没 问题 他 又 帅 又 牛 逼 是 我们 整个 家族 的 荣耀 [ 害羞 ],据我所知,自我感觉,恕我直言,0.851966
等 一下 到手 的 六万块 居然 是 年薪 吗 [ 哭 惹 ],等 一下 到手 的 六万块 居然 是 年薪 吗 [ 哭 惹 ],这样的话,总的来说,莫名其妙,0.83903754
想 知道 医改 之前 工资水平 如何 呢 [ 叹气 ],想 知道 医改 之前 工资水平 如何 呢 [ 叹气 ],各种渠道,道听途说,角色定位,0.88084674
别说 了 坐标 十八 线 小 城市 县 医院 每个 月 绩效 2000 都 发 不 出来 已经 三个 月 没发 了,别说 了 坐标 十八 线 小 城市 县 医院 每个 月 绩效 2000 都 发 不 出来 已经 三个 月 没发 了,莫名其妙,马来西亚,悬壶济世,0.80063283
一直 强调 医院 的 服务 一个 医院 在 搞 服务 的 时候 他 的 医疗 质量 一定 是 走下坡路 的,一直 强调 医院 的 服务 一个 医院 在 搞 服务 的 时候 他 的 医疗 质量 一定 是 走下坡路 的,总的来说,这样的话,他妈的,0.8579365
都 没人 讲 实话 吗 我 来 现在 医护 行业 已经 畸形 特别 是 大城市 医生 不 注重 如何 看好 病找 对策 而且 注重 如何 服务 好 病人 不 被 投诉 再者 如何 完成 绩效 再也 不是 悬壶济世,都 没人 讲 实话 吗 我 来 现在 医护 行业 已经 畸形 特别 是 大城市 医生 不 注重 如何 看好 病找 对策 而且 注重 如何 服务 好 病人 不 被 投诉 再者 如何 完成 绩效 再也 不是 悬壶济世,个人所得税,个人感觉,个人观点,0.81809926
只 干活   不 给钱   不 就是 这个 道理,只 干活   不 给钱   不 就是 这个 道理,关系不大,苦不堪言,需不需要,0.8925699
这 不 合适 吧 相同 职称 的 人 有人 做 得 多 有人 做 得 少 如果 按 职称 分配 而 不是 按劳分配 会 降低 工作 积极性 吧,这 不 合适 吧 相同 职称 的 人 有人 做 得 多 有人 做 得 少 如果 按 职称 分配 而 不是 按劳分配 会 降低 工作 积极性 吧,个人所得税,众人皆醉,个人感觉,0.82829964
想 问 一下 提高 工作效率 是 什么 原理 想 马儿跑 又 不 给 马 吃 草,想 问 一下 提高 工作效率 是 什么 原理 想 马儿跑 又 不 给 马 吃 草,苦不堪言,忙不过来,好不容易,0.8315978
以后 医护人员 只 讲究 对 你 笑脸相迎 不再 追求 好好 为 你 看病 老百姓 是 高兴 了 [ doge ] 去 医院 得到 了 无比 贴心 的 服务 实际上 病情 反而 没有 得到 更好 的 解决 我 倒 宁愿 医生 对 我 屌 屌 的 但是 是 有 真材实料 的 水平,以后 医护人员 只 讲究 对 你 笑脸相迎 不再 追求 好好 为 你 看病 老百姓 是 高兴 了 [ doge ] 去 医院 得到 了 无比 贴心 的 服务 实际上 病情 反而 没有 得到 更好 的 解决 我 倒 宁愿 医生 对 我 屌 屌 的 但是 是 有 真材实料 的 水平,个人所得税,众人皆醉,痴人说梦,0.75834477
这么 说 吧 都 喜欢 便宜 药是 吧 以后 你 想要 进口药 医生 都 开 不 出来 国产 药 2 块 和 进口药 70 块 你 看看 2 块 能 不能 达到 70 的 效果 [ 飞吻 ] [ 飞吻 ] 你 看看 10w 的 医护 和 2030w 的 医护 有 什么 区别 [ 飞吻 ],这么 说 吧 都 喜欢 便宜 药是 吧 以后 你 想要 进口药 医生 都 开 不 出来 国产 药 2 块 和 进口药 70 块 你 看看 2 块 能 不能 达到 70 的 效果 [ 飞吻 ] [ 飞吻 ] 你 看看 10w 的 医护 和 2030w 的 医护 有 什么 区别 [ 飞吻 ],莫名其妙,资产负债率,固定收入,0.70726573
那 以后 我们 普通人 岂 不是 更 看不上 病 了 原来 医生 为了 绩效 加班加点 现在 到 点 下班 该 做 的 手术 能 推 就 推有 背景 有 关系 的 才 给 开药 治病,那 以后 我们 普通人 岂 不是 更 看不上 病 了 原来 医生 为了 绩效 加班加点 现在 到 点 下班 该 做 的 手术 能 推 就 推有 背景 有 关系 的 才 给 开药 治病,在我看来,自我感觉,恕我直言,0.79513735
读书 的 时候 说 的 是 同工同酬 多劳多得 工作 了 这个 b 样,读书 的 时候 说 的 是 同工同酬 多劳多得 工作 了 这个 b 样,这样的话,总的来说,傻傻的,0.84320074
还有 145 天 就 退休 了 再见 drg 再见 kpi,还有 145 天 就 退休 了 再见 drg 再见 kpi,另有企图,过河拆桥,听天由命,0.78227544
这么 说 那 对于 私立 简直 不要 太 友好 了 啊 公立 不 收治 那 病人 就 只能 选 私立 了 努力 赚钱 吧 不然 药店 的 药 我 都 要 买不起 了 [ 失望 ],这么 说 那 对于 私立 简直 不要 太 友好 了 啊 公立 不 收治 那 病人 就 只能 选 私立 了 努力 赚钱 吧 不然 药店 的 药 我 都 要 买不起 了 [ 失望 ],恕我直言,在我看来,自我感觉,0.7950392
想 请 三明 居民 谈谈 真实 的 就医 体验,想 请 三明 居民 谈谈 真实 的 就医 体验,悬壶济世,环游世界,角色定位,0.86587274
三明 是 福建 经济 最 发达 的 地区 吗 如果 不是 这个 三明 医改 能 好 个 锤子 本质 上 就是 极端 压减 成本 的 行为 至于 治病 那 不 重要 省钱 是 第一位,三明 是 福建 经济 最 发达 的 地区 吗 如果 不是 这个 三明 医改 能 好 个 锤子 本质 上 就是 极端 压减 成本 的 行为 至于 治病 那 不 重要 省钱 是 第一位,马来西亚,提前退休,悬壶济世,0.783949
三明 医改 集采 核心 目的 是 省钱 把 你治好 并 不是 医保 的 kpi,三明 医改 集采 核心 目的 是 省钱 把 你治好 并 不是 医保 的 kpi,工资水平,收入水平,技术水平,0.79079854
凡事 看 目的 初衷 如果 是 为 省钱 说 有 再 多 好处 那 都 是,凡事 看 目的 初衷 如果 是 为 省钱 说 有 再 多 好处 那 都 是,这样的话,总的来说,深有体会,0.7972671
医保 一定 是 收 医院 一个 病人 医保 基金 打包 一个 费用 这个 病人 在院 期间 发费 越少 医院 节流 越多 和 医院 的 收容 病人 的 数量 和 治疗 费用 是 挂钩 的 不 可能 像 作者 说 的 这样 医院 病人 越 少 收入 越高 什么 理解,医保 一定 是 收 医院 一个 病人 医保 基金 打包 一个 费用 这个 病人 在院 期间 发费 越少 医院 节流 越多 和 医院 的 收容 病人 的 数量 和 治疗 费用 是 挂钩 的 不 可能 像 作者 说 的 这样 医院 病人 越 少 收入 越高 什么 理解,个人所得税,医护人员,物是人非,0.77038264
我 想 知道 三明 医改 行政 的 奖金 会 很少 吗,我 想 知道 三明 医改 行政 的 奖金 会 很少 吗,自我感觉,据我所知,在我看来,0.86571693
这个 局 可以 破 可以 拒绝 收治 那些 复杂 危重病 人收 那些 简单 一点 的 病人 [ doge ],这个 局 可以 破 可以 拒绝 收治 那些 复杂 危重病 人收 那些 简单 一点 的 病人 [ doge ],个人所得税,普通工人,虐待老人,0.7957587
那 也 还是 有 很多 自费 项目 的 啊 恐怕 不是 这样 的 哦,那 也 还是 有 很多 自费 项目 的 啊 恐怕 不是 这样 的 哦,这样的话,总的来说,无奇不有,0.8514006
你们 是 技工 我们 是 服务员 太好 啦 我们 都 没有 光明 的 未来,你们 是 技工 我们 是 服务员 太好 啦 我们 都 没有 光明 的 未来,敌我矛盾,自我感觉,据我所知,0.88279384
get   some   ice   whose   eyes,get   some   ice   whose   eyes,ice,eyes,icerainu,0.72062093
我们 医院 太有 前瞻性   麻醉 手术 科 一直 都 是 医技 科室 哈哈哈哈 哈哈哈哈 哈哈哈 哈哈哈,我们 医院 太有 前瞻性   麻醉 手术 科 一直 都 是 医技 科室 哈哈哈哈 哈哈哈哈 哈哈哈 哈哈哈,在我看来,敌我矛盾,据我所知,0.8672185
所以 应该 叫 什么 叫 了 十三年 麻醉师 好像 同事 也 没有 不 高兴 主要 全都 这么 叫 [ 石化 ] 但是 正规 应该 叫 什么 真心 求问,所以 应该 叫 什么 叫 了 十三年 麻醉师 好像 同事 也 没有 不 高兴 主要 全都 这么 叫 [ 石化 ] 但是 正规 应该 叫 什么 真心 求问,冲锋在前,提前退休,悬壶济世,0.7826638
不是 麻醉科 本来 就 缺人 吗 怎么 还会 这样 这样 不会 越来越 缺 吗,不是 麻醉科 本来 就 缺人 吗 怎么 还会 这样 这样 不会 越来越 缺 吗,苦不堪言,需不需要,值不值得,0.85740113
麻子 推点 肌松 [ 偷笑 ],麻子 推点 肌松 [ 偷笑 ],领导班子,嗓子疼,这辈子,0.9463569
洗脚 的 那个 都 是 技师 这 人命关天 的 也 是 技师,洗脚 的 那个 都 是 技师 这 人命关天 的 也 是 技师,这样的话,总的来说,个人所得税,0.85320985
技师 来 加点 药 [ 偷笑 ],技师 来 加点 药 [ 偷笑 ],资产负债率,工资标准,尿路感染,0.949264
医改 改成 医技 了 我 确实 就 一 技师 [ 黄金 薯 ],医改 改成 医技 了 我 确实 就 一 技师 [ 黄金 薯 ],敌我矛盾,在我看来,据我所知,0.8692367
甚至 没有 人 想起 预防 医学 [ 微笑 ],甚至 没有 人 想起 预防 医学 [ 微笑 ],个人所得税,众人皆醉,个人观点,0.8740335
是 患者 他来 了 身患 2 种病 起码 16 天能治好 医保 说 你 只能 治 1 种病 用 的 钱 只能 让 他 住 15 天 不然 罚款 扣分 吊销执照 你 怎么办 来 的 患者 越多 你 被 桶 死 的 越 快,是 患者 他来 了 身患 2 种病 起码 16 天能治好 医保 说 你 只能 治 1 种病 用 的 钱 只能 让 他 住 15 天 不然 罚款 扣分 吊销执照 你 怎么办 来 的 患者 越多 你 被 桶 死 的 越 快,资产负债率,亲朋好友,请客吃饭,0.75272524
同样 985 硕士 博士 人家 程序员 进厂 996 可以 拿 大 几十万 甚至 百万 以上 年薪 但 当 医生 进 医院 全年 无休 每天 查房 经常 熬夜 通宵 一年 拿个 十几万 二十万 被 全民 骂 被 郭嘉 疯狂 针对 [ doge ] 恨不得 一个月 就 给 你 开 5 千块,同样 985 硕士 博士 人家 程序员 进厂 996 可以 拿 大 几十万 甚至 百万 以上 年薪 但 当 医生 进 医院 全年 无休 每天 查房 经常 熬夜 通宵 一年 拿个 十几万 二十万 被 全民 骂 被 郭嘉 疯狂 针对 [ doge ] 恨不得 一个月 就 给 你 开 5 千块,个人所得税,与此同时,殊途同归,0.7147038
这种 话 的 含金量 就 好比 你 问 某某 专业 就业 前景 怎么样 他 回答 不管 什么 专业 只要 爬 到 顶端 不 愁 就业,这种 话 的 含金量 就 好比 你 问 某某 专业 就业 前景 怎么样 他 回答 不管 什么 专业 只要 爬 到 顶端 不 愁 就业,在所不惜,解决不了,殷鉴不远,0.8052588
看病 不 挣钱 你 还 看 么 [ doge ]   甚至 要 你 晚上 也 别 睡 呢,看病 不 挣钱 你 还 看 么 [ doge ]   甚至 要 你 晚上 也 别 睡 呢,需不需要,可不可以,好不容易,0.7563642
三明市 医院 连发 6 次 紧急 招聘 公告 招不来 人,三明市 医院 连发 6 次 紧急 招聘 公告 招不来 人,个人所得税,众人皆醉,个人感觉,0.90078676
