final_content,text,keyword,similarity_score
一个 产妇 留置 针 血管 贼 难 弄 留置 针 号 2 针 终于 进去 y 型 透明 接头处 漏 血 哗啦啦 漏 产妇 还 崩溃 [ 微笑 ],一个 产妇 留置 针 血管 贼 难 弄 留置 针 号 2 针 终于 进去 y 型 透明 接头处 漏 血 哗啦啦 漏 产妇 还 崩溃 [ 微笑 ],一两个,0.539335
说个 真 事儿 同事 刚 拆 新 无菌 手套 打开 放着 一块 牛轧糖 都 懵,说个 真 事儿 同事 刚 拆 新 无菌 手套 打开 放着 一块 牛轧糖 都 懵,注意事项,0.71736073
说个 真 事儿 同事 刚 拆 新 无菌 手套 打开 放着 一块 牛轧糖 都 懵,说个 真 事儿 同事 刚 拆 新 无菌 手套 打开 放着 一块 牛轧糖 都 懵,医疗事故,0.71736073
说个 真 事儿 同事 刚 拆 新 无菌 手套 打开 放着 一块 牛轧糖 都 懵,说个 真 事儿 同事 刚 拆 新 无菌 手套 打开 放着 一块 牛轧糖 都 懵,真知灼见,0.70352304
说个 真 事儿 同事 刚 拆 新 无菌 手套 打开 放着 一块 牛轧糖 都 懵,说个 真 事儿 同事 刚 拆 新 无菌 手套 打开 放着 一块 牛轧糖 都 懵,真材实料,0.70352304
说个 真 事儿 同事 刚 拆 新 无菌 手套 打开 放着 一块 牛轧糖 都 懵,说个 真 事儿 同事 刚 拆 新 无菌 手套 打开 放着 一块 牛轧糖 都 懵,真情实感,0.70352304
说个 真 事儿 同事 刚 拆 新 无菌 手套 打开 放着 一块 牛轧糖 都 懵,说个 真 事儿 同事 刚 拆 新 无菌 手套 打开 放着 一块 牛轧糖 都 懵,事业单位,0.7004897
说个 真 事儿 同事 刚 拆 新 无菌 手套 打开 放着 一块 牛轧糖 都 懵,说个 真 事儿 同事 刚 拆 新 无菌 手套 打开 放着 一块 牛轧糖 都 懵,多事少,0.6847931
说个 真 事儿 同事 刚 拆 新 无菌 手套 打开 放着 一块 牛轧糖 都 懵,说个 真 事儿 同事 刚 拆 新 无菌 手套 打开 放着 一块 牛轧糖 都 懵,真服了,0.6793082
说个 真 事儿 同事 刚 拆 新 无菌 手套 打开 放着 一块 牛轧糖 都 懵,说个 真 事儿 同事 刚 拆 新 无菌 手套 打开 放着 一块 牛轧糖 都 懵,各凭本事,0.66359377
说个 真 事儿 同事 刚 拆 新 无菌 手套 打开 放着 一块 牛轧糖 都 懵,说个 真 事儿 同事 刚 拆 新 无菌 手套 打开 放着 一块 牛轧糖 都 懵,最新消息,0.66234505
刚刚 接到 办公室 主任 电话 通知 明天 会发 统一 文 集采 留 文字 发微 信发 信息 都 一对一 打电话 说 四个 点 不 评论 不 跟帖 不 接受 采访 病人 问 配 不到 药 说 类型 药 医院 一个 转 一个 打电话 通知 感觉 瑞金 主任 提 点 北京 调查 说 真话 人 很 炮灰 动 蛋糕 昨天 刷到 唐山 私立 医院 倒闭 医院 都 关 算了 [ 鄙视 ] [ 鄙视 ],刚刚 接到 办公室 主任 电话 通知 明天 会发 统一 文 集采 留 文字 发微 信发 信息 都 一对一 打电话 说 四个 点 不 评论 不 跟帖 不 接受 采访 病人 问 配 不到 药 说 类型 药 医院 一个 转 一个 打电话 通知 感觉 瑞金 主任 提 点 北京 调查 说 真话 人 很 炮灰 动 蛋糕 昨天 刷到 唐山 私立 医院 倒闭 医院 都 关 算了 [ 鄙视 ] [ 鄙视 ],公立医院,0.6015943
刚刚 接到 办公室 主任 电话 通知 明天 会发 统一 文 集采 留 文字 发微 信发 信息 都 一对一 打电话 说 四个 点 不 评论 不 跟帖 不 接受 采访 病人 问 配 不到 药 说 类型 药 医院 一个 转 一个 打电话 通知 感觉 瑞金 主任 提 点 北京 调查 说 真话 人 很 炮灰 动 蛋糕 昨天 刷到 唐山 私立 医院 倒闭 医院 都 关 算了 [ 鄙视 ] [ 鄙视 ],刚刚 接到 办公室 主任 电话 通知 明天 会发 统一 文 集采 留 文字 发微 信发 信息 都 一对一 打电话 说 四个 点 不 评论 不 跟帖 不 接受 采访 病人 问 配 不到 药 说 类型 药 医院 一个 转 一个 打电话 通知 感觉 瑞金 主任 提 点 北京 调查 说 真话 人 很 炮灰 动 蛋糕 昨天 刷到 唐山 私立 医院 倒闭 医院 都 关 算了 [ 鄙视 ] [ 鄙视 ],提公卫,0.5484817
刚刚 接到 办公室 主任 电话 通知 明天 会发 统一 文 集采 留 文字 发微 信发 信息 都 一对一 打电话 说 四个 点 不 评论 不 跟帖 不 接受 采访 病人 问 配 不到 药 说 类型 药 医院 一个 转 一个 打电话 通知 感觉 瑞金 主任 提 点 北京 调查 说 真话 人 很 炮灰 动 蛋糕 昨天 刷到 唐山 私立 医院 倒闭 医院 都 关 算了 [ 鄙视 ] [ 鄙视 ],刚刚 接到 办公室 主任 电话 通知 明天 会发 统一 文 集采 留 文字 发微 信发 信息 都 一对一 打电话 说 四个 点 不 评论 不 跟帖 不 接受 采访 病人 问 配 不到 药 说 类型 药 医院 一个 转 一个 打电话 通知 感觉 瑞金 主任 提 点 北京 调查 说 真话 人 很 炮灰 动 蛋糕 昨天 刷到 唐山 私立 医院 倒闭 医院 都 关 算了 [ 鄙视 ] [ 鄙视 ],考公是,0.5484817
刚刚 接到 办公室 主任 电话 通知 明天 会发 统一 文 集采 留 文字 发微 信发 信息 都 一对一 打电话 说 四个 点 不 评论 不 跟帖 不 接受 采访 病人 问 配 不到 药 说 类型 药 医院 一个 转 一个 打电话 通知 感觉 瑞金 主任 提 点 北京 调查 说 真话 人 很 炮灰 动 蛋糕 昨天 刷到 唐山 私立 医院 倒闭 医院 都 关 算了 [ 鄙视 ] [ 鄙视 ],刚刚 接到 办公室 主任 电话 通知 明天 会发 统一 文 集采 留 文字 发微 信发 信息 都 一对一 打电话 说 四个 点 不 评论 不 跟帖 不 接受 采访 病人 问 配 不到 药 说 类型 药 医院 一个 转 一个 打电话 通知 感觉 瑞金 主任 提 点 北京 调查 说 真话 人 很 炮灰 动 蛋糕 昨天 刷到 唐山 私立 医院 倒闭 医院 都 关 算了 [ 鄙视 ] [ 鄙视 ],办公室,0.5484817
刚刚 接到 办公室 主任 电话 通知 明天 会发 统一 文 集采 留 文字 发微 信发 信息 都 一对一 打电话 说 四个 点 不 评论 不 跟帖 不 接受 采访 病人 问 配 不到 药 说 类型 药 医院 一个 转 一个 打电话 通知 感觉 瑞金 主任 提 点 北京 调查 说 真话 人 很 炮灰 动 蛋糕 昨天 刷到 唐山 私立 医院 倒闭 医院 都 关 算了 [ 鄙视 ] [ 鄙视 ],刚刚 接到 办公室 主任 电话 通知 明天 会发 统一 文 集采 留 文字 发微 信发 信息 都 一对一 打电话 说 四个 点 不 评论 不 跟帖 不 接受 采访 病人 问 配 不到 药 说 类型 药 医院 一个 转 一个 打电话 通知 感觉 瑞金 主任 提 点 北京 调查 说 真话 人 很 炮灰 动 蛋糕 昨天 刷到 唐山 私立 医院 倒闭 医院 都 关 算了 [ 鄙视 ] [ 鄙视 ],考公考,0.5484817
刚刚 接到 办公室 主任 电话 通知 明天 会发 统一 文 集采 留 文字 发微 信发 信息 都 一对一 打电话 说 四个 点 不 评论 不 跟帖 不 接受 采访 病人 问 配 不到 药 说 类型 药 医院 一个 转 一个 打电话 通知 感觉 瑞金 主任 提 点 北京 调查 说 真话 人 很 炮灰 动 蛋糕 昨天 刷到 唐山 私立 医院 倒闭 医院 都 关 算了 [ 鄙视 ] [ 鄙视 ],刚刚 接到 办公室 主任 电话 通知 明天 会发 统一 文 集采 留 文字 发微 信发 信息 都 一对一 打电话 说 四个 点 不 评论 不 跟帖 不 接受 采访 病人 问 配 不到 药 说 类型 药 医院 一个 转 一个 打电话 通知 感觉 瑞金 主任 提 点 北京 调查 说 真话 人 很 炮灰 动 蛋糕 昨天 刷到 唐山 私立 医院 倒闭 医院 都 关 算了 [ 鄙视 ] [ 鄙视 ],办公厅,0.5484817
刚刚 接到 办公室 主任 电话 通知 明天 会发 统一 文 集采 留 文字 发微 信发 信息 都 一对一 打电话 说 四个 点 不 评论 不 跟帖 不 接受 采访 病人 问 配 不到 药 说 类型 药 医院 一个 转 一个 打电话 通知 感觉 瑞金 主任 提 点 北京 调查 说 真话 人 很 炮灰 动 蛋糕 昨天 刷到 唐山 私立 医院 倒闭 医院 都 关 算了 [ 鄙视 ] [ 鄙视 ],刚刚 接到 办公室 主任 电话 通知 明天 会发 统一 文 集采 留 文字 发微 信发 信息 都 一对一 打电话 说 四个 点 不 评论 不 跟帖 不 接受 采访 病人 问 配 不到 药 说 类型 药 医院 一个 转 一个 打电话 通知 感觉 瑞金 主任 提 点 北京 调查 说 真话 人 很 炮灰 动 蛋糕 昨天 刷到 唐山 私立 医院 倒闭 医院 都 关 算了 [ 鄙视 ] [ 鄙视 ],公务员,0.5431856
刚刚 接到 办公室 主任 电话 通知 明天 会发 统一 文 集采 留 文字 发微 信发 信息 都 一对一 打电话 说 四个 点 不 评论 不 跟帖 不 接受 采访 病人 问 配 不到 药 说 类型 药 医院 一个 转 一个 打电话 通知 感觉 瑞金 主任 提 点 北京 调查 说 真话 人 很 炮灰 动 蛋糕 昨天 刷到 唐山 私立 医院 倒闭 医院 都 关 算了 [ 鄙视 ] [ 鄙视 ],刚刚 接到 办公室 主任 电话 通知 明天 会发 统一 文 集采 留 文字 发微 信发 信息 都 一对一 打电话 说 四个 点 不 评论 不 跟帖 不 接受 采访 病人 问 配 不到 药 说 类型 药 医院 一个 转 一个 打电话 通知 感觉 瑞金 主任 提 点 北京 调查 说 真话 人 很 炮灰 动 蛋糕 昨天 刷到 唐山 私立 医院 倒闭 医院 都 关 算了 [ 鄙视 ] [ 鄙视 ],公卫去,0.5431856
刚刚 接到 办公室 主任 电话 通知 明天 会发 统一 文 集采 留 文字 发微 信发 信息 都 一对一 打电话 说 四个 点 不 评论 不 跟帖 不 接受 采访 病人 问 配 不到 药 说 类型 药 医院 一个 转 一个 打电话 通知 感觉 瑞金 主任 提 点 北京 调查 说 真话 人 很 炮灰 动 蛋糕 昨天 刷到 唐山 私立 医院 倒闭 医院 都 关 算了 [ 鄙视 ] [ 鄙视 ],刚刚 接到 办公室 主任 电话 通知 明天 会发 统一 文 集采 留 文字 发微 信发 信息 都 一对一 打电话 说 四个 点 不 评论 不 跟帖 不 接受 采访 病人 问 配 不到 药 说 类型 药 医院 一个 转 一个 打电话 通知 感觉 瑞金 主任 提 点 北京 调查 说 真话 人 很 炮灰 动 蛋糕 昨天 刷到 唐山 私立 医院 倒闭 医院 都 关 算了 [ 鄙视 ] [ 鄙视 ],公益性,0.5431856
刚刚 接到 办公室 主任 电话 通知 明天 会发 统一 文 集采 留 文字 发微 信发 信息 都 一对一 打电话 说 四个 点 不 评论 不 跟帖 不 接受 采访 病人 问 配 不到 药 说 类型 药 医院 一个 转 一个 打电话 通知 感觉 瑞金 主任 提 点 北京 调查 说 真话 人 很 炮灰 动 蛋糕 昨天 刷到 唐山 私立 医院 倒闭 医院 都 关 算了 [ 鄙视 ] [ 鄙视 ],刚刚 接到 办公室 主任 电话 通知 明天 会发 统一 文 集采 留 文字 发微 信发 信息 都 一对一 打电话 说 四个 点 不 评论 不 跟帖 不 接受 采访 病人 问 配 不到 药 说 类型 药 医院 一个 转 一个 打电话 通知 感觉 瑞金 主任 提 点 北京 调查 说 真话 人 很 炮灰 动 蛋糕 昨天 刷到 唐山 私立 医院 倒闭 医院 都 关 算了 [ 鄙视 ] [ 鄙视 ],主任医师,0.5363722
基本上 能进 集采 名单 都 付出 上 亿 关系 费 [ 笑 哭 ],基本上 能进 集采 名单 都 付出 上 亿 关系 费 [ 笑 哭 ],从根本上,0.780016
基本上 能进 集采 名单 都 付出 上 亿 关系 费 [ 笑 哭 ],基本上 能进 集采 名单 都 付出 上 亿 关系 费 [ 笑 哭 ],羊毛出在羊身上,0.7773342
基本上 能进 集采 名单 都 付出 上 亿 关系 费 [ 笑 哭 ],基本上 能进 集采 名单 都 付出 上 亿 关系 费 [ 笑 哭 ],基本上,0.7149542
基本上 能进 集采 名单 都 付出 上 亿 关系 费 [ 笑 哭 ],基本上 能进 集采 名单 都 付出 上 亿 关系 费 [ 笑 哭 ],名正言顺,0.70177734
基本上 能进 集采 名单 都 付出 上 亿 关系 费 [ 笑 哭 ],基本上 能进 集采 名单 都 付出 上 亿 关系 费 [ 笑 哭 ],上班时间,0.69762504
基本上 能进 集采 名单 都 付出 上 亿 关系 费 [ 笑 哭 ],基本上 能进 集采 名单 都 付出 上 亿 关系 费 [ 笑 哭 ],基本工资,0.69046
基本上 能进 集采 名单 都 付出 上 亿 关系 费 [ 笑 哭 ],基本上 能进 集采 名单 都 付出 上 亿 关系 费 [ 笑 哭 ],慕名而来,0.6839386
基本上 能进 集采 名单 都 付出 上 亿 关系 费 [ 笑 哭 ],基本上 能进 集采 名单 都 付出 上 亿 关系 费 [ 笑 哭 ],知名品牌,0.6839386
基本上 能进 集采 名单 都 付出 上 亿 关系 费 [ 笑 哭 ],基本上 能进 集采 名单 都 付出 上 亿 关系 费 [ 笑 哭 ],好几本,0.6822506
基本上 能进 集采 名单 都 付出 上 亿 关系 费 [ 笑 哭 ],基本上 能进 集采 名单 都 付出 上 亿 关系 费 [ 笑 哭 ],上六休,0.67812294
坐标 口腔医院 集 采药 一个 材料 糖豆 挤出来 稀泥 都 不 搞 橡胶 手套 用点力 上 套 碎 还 没 改到 真改 估计 科室 养不起 多人 走 说实话 改 科室 人 都 走 差不多,坐标 口腔医院 集 采药 一个 材料 糖豆 挤出来 稀泥 都 不 搞 橡胶 手套 用点力 上 套 碎 还 没 改到 真改 估计 科室 养不起 多人 走 说实话 改 科室 人 都 走 差不多,人口老龄化,0.6716854
坐标 口腔医院 集 采药 一个 材料 糖豆 挤出来 稀泥 都 不 搞 橡胶 手套 用点力 上 套 碎 还 没 改到 真改 估计 科室 养不起 多人 走 说实话 改 科室 人 都 走 差不多,坐标 口腔医院 集 采药 一个 材料 糖豆 挤出来 稀泥 都 不 搞 橡胶 手套 用点力 上 套 碎 还 没 改到 真改 估计 科室 养不起 多人 走 说实话 改 科室 人 都 走 差不多,羊毛出在羊身上,0.6595045
坐标 口腔医院 集 采药 一个 材料 糖豆 挤出来 稀泥 都 不 搞 橡胶 手套 用点力 上 套 碎 还 没 改到 真改 估计 科室 养不起 多人 走 说实话 改 科室 人 都 走 差不多,坐标 口腔医院 集 采药 一个 材料 糖豆 挤出来 稀泥 都 不 搞 橡胶 手套 用点力 上 套 碎 还 没 改到 真改 估计 科室 养不起 多人 走 说实话 改 科室 人 都 走 差不多,入不敷出,0.657364
坐标 口腔医院 集 采药 一个 材料 糖豆 挤出来 稀泥 都 不 搞 橡胶 手套 用点力 上 套 碎 还 没 改到 真改 估计 科室 养不起 多人 走 说实话 改 科室 人 都 走 差不多,坐标 口腔医院 集 采药 一个 材料 糖豆 挤出来 稀泥 都 不 搞 橡胶 手套 用点力 上 套 碎 还 没 改到 真改 估计 科室 养不起 多人 走 说实话 改 科室 人 都 走 差不多,口腔医院,0.64669836
坐标 口腔医院 集 采药 一个 材料 糖豆 挤出来 稀泥 都 不 搞 橡胶 手套 用点力 上 套 碎 还 没 改到 真改 估计 科室 养不起 多人 走 说实话 改 科室 人 都 走 差不多,坐标 口腔医院 集 采药 一个 材料 糖豆 挤出来 稀泥 都 不 搞 橡胶 手套 用点力 上 套 碎 还 没 改到 真改 估计 科室 养不起 多人 走 说实话 改 科室 人 都 走 差不多,人口过剩,0.64530873
坐标 口腔医院 集 采药 一个 材料 糖豆 挤出来 稀泥 都 不 搞 橡胶 手套 用点力 上 套 碎 还 没 改到 真改 估计 科室 养不起 多人 走 说实话 改 科室 人 都 走 差不多,坐标 口腔医院 集 采药 一个 材料 糖豆 挤出来 稀泥 都 不 搞 橡胶 手套 用点力 上 套 碎 还 没 改到 真改 估计 科室 养不起 多人 走 说实话 改 科室 人 都 走 差不多,风口浪尖,0.64231
坐标 口腔医院 集 采药 一个 材料 糖豆 挤出来 稀泥 都 不 搞 橡胶 手套 用点力 上 套 碎 还 没 改到 真改 估计 科室 养不起 多人 走 说实话 改 科室 人 都 走 差不多,坐标 口腔医院 集 采药 一个 材料 糖豆 挤出来 稀泥 都 不 搞 橡胶 手套 用点力 上 套 碎 还 没 改到 真改 估计 科室 养不起 多人 走 说实话 改 科室 人 都 走 差不多,发不出,0.63125706
坐标 口腔医院 集 采药 一个 材料 糖豆 挤出来 稀泥 都 不 搞 橡胶 手套 用点力 上 套 碎 还 没 改到 真改 估计 科室 养不起 多人 走 说实话 改 科室 人 都 走 差不多,坐标 口腔医院 集 采药 一个 材料 糖豆 挤出来 稀泥 都 不 搞 橡胶 手套 用点力 上 套 碎 还 没 改到 真改 估计 科室 养不起 多人 走 说实话 改 科室 人 都 走 差不多,无所不用其极,0.6276942
坐标 口腔医院 集 采药 一个 材料 糖豆 挤出来 稀泥 都 不 搞 橡胶 手套 用点力 上 套 碎 还 没 改到 真改 估计 科室 养不起 多人 走 说实话 改 科室 人 都 走 差不多,坐标 口腔医院 集 采药 一个 材料 糖豆 挤出来 稀泥 都 不 搞 橡胶 手套 用点力 上 套 碎 还 没 改到 真改 估计 科室 养不起 多人 走 说实话 改 科室 人 都 走 差不多,脱颖而出,0.6188191
坐标 口腔医院 集 采药 一个 材料 糖豆 挤出来 稀泥 都 不 搞 橡胶 手套 用点力 上 套 碎 还 没 改到 真改 估计 科室 养不起 多人 走 说实话 改 科室 人 都 走 差不多,坐标 口腔医院 集 采药 一个 材料 糖豆 挤出来 稀泥 都 不 搞 橡胶 手套 用点力 上 套 碎 还 没 改到 真改 估计 科室 养不起 多人 走 说实话 改 科室 人 都 走 差不多,口腔科,0.61100435
听说 医生 做手术 时 电刀 电到 地狱 笑话 送走 领 退休金 老家伙 出 损招 [ 笑 哭 ] [ 笑 哭 ] 未妨 惆怅 清狂,听说 医生 做手术 时 电刀 电到 地狱 笑话 送走 领 退休金 老家伙 出 损招 [ 笑 哭 ] [ 笑 哭 ] 未妨 惆怅 清狂,退休金,0.6689334
听说 医生 做手术 时 电刀 电到 地狱 笑话 送走 领 退休金 老家伙 出 损招 [ 笑 哭 ] [ 笑 哭 ] 未妨 惆怅 清狂,听说 医生 做手术 时 电刀 电到 地狱 笑话 送走 领 退休金 老家伙 出 损招 [ 笑 哭 ] [ 笑 哭 ] 未妨 惆怅 清狂,违约金,0.6689334
听说 医生 做手术 时 电刀 电到 地狱 笑话 送走 领 退休金 老家伙 出 损招 [ 笑 哭 ] [ 笑 哭 ] 未妨 惆怅 清狂,听说 医生 做手术 时 电刀 电到 地狱 笑话 送走 领 退休金 老家伙 出 损招 [ 笑 哭 ] [ 笑 哭 ] 未妨 惆怅 清狂,养老金,0.6689334
听说 医生 做手术 时 电刀 电到 地狱 笑话 送走 领 退休金 老家伙 出 损招 [ 笑 哭 ] [ 笑 哭 ] 未妨 惆怅 清狂,听说 医生 做手术 时 电刀 电到 地狱 笑话 送走 领 退休金 老家伙 出 损招 [ 笑 哭 ] [ 笑 哭 ] 未妨 惆怅 清狂,金融业,0.645674
听说 医生 做手术 时 电刀 电到 地狱 笑话 送走 领 退休金 老家伙 出 损招 [ 笑 哭 ] [ 笑 哭 ] 未妨 惆怅 清狂,听说 医生 做手术 时 电刀 电到 地狱 笑话 送走 领 退休金 老家伙 出 损招 [ 笑 哭 ] [ 笑 哭 ] 未妨 惆怅 清狂,金字塔,0.645674
听说 医生 做手术 时 电刀 电到 地狱 笑话 送走 领 退休金 老家伙 出 损招 [ 笑 哭 ] [ 笑 哭 ] 未妨 惆怅 清狂,听说 医生 做手术 时 电刀 电到 地狱 笑话 送走 领 退休金 老家伙 出 损招 [ 笑 哭 ] [ 笑 哭 ] 未妨 惆怅 清狂,含金量,0.64440656
听说 医生 做手术 时 电刀 电到 地狱 笑话 送走 领 退休金 老家伙 出 损招 [ 笑 哭 ] [ 笑 哭 ] 未妨 惆怅 清狂,听说 医生 做手术 时 电刀 电到 地狱 笑话 送走 领 退休金 老家伙 出 损招 [ 笑 哭 ] [ 笑 哭 ] 未妨 惆怅 清狂,黄金,0.6201612
听说 医生 做手术 时 电刀 电到 地狱 笑话 送走 领 退休金 老家伙 出 损招 [ 笑 哭 ] [ 笑 哭 ] 未妨 惆怅 清狂,听说 医生 做手术 时 电刀 电到 地狱 笑话 送走 领 退休金 老家伙 出 损招 [ 笑 哭 ] [ 笑 哭 ] 未妨 惆怅 清狂,基金,0.6201612
