content,cleaned_content,cut_content,final_content
2025年了还能看到工分两个字,2025年了还能看到工分两个字,2025 年 了 还 能 看到 工分 两个 字,2025年还工分两个字
挣工分？那我觉得我今天分够了  是不是病人有痰 我想吸就吸，不想吸就不吸。这个病人我想看就看，不想看就不看。[微笑R] 那也挺好,挣工分那我觉得我今天分够了 是不是病人有痰 我想吸就吸不想吸就不吸这个病人我想看就看不想看就不看[微笑] 那也挺好,挣 工分 那 我 觉得 我 今天 分够 了   是不是 病人 有 痰   我 想吸 就 吸 不想 吸 就 不吸 这个 病人 我 想 看 就 看 不想 看 就 不 看 [ 微笑 ]   那 也 挺 好,挣工分分够病人痰想吸吸不想吸不吸病人想看看不想看不看[微笑]挺好
以后我小孩不学医了，医学生苦得很，读个7年8年毕业出来还没初中毕业学理发的赚的多。,以后我小孩不学医了医学生苦得很读个7年8年毕业出来还没初中毕业学理发的赚的多,以后 我 小孩 不 学医 了 医学生 苦得 很 读个 7 年 8 年 毕业 出来 还 没 初中 毕业 学 理发 的 赚 的 多,小孩不学医医学生苦得很读个7年8年毕业还没初中毕业学理发赚
既是自负盈亏，又要受工分制文件限薪，怎么调动劳动积极性？,既是自负盈亏又要受工分制文件限薪怎么调动劳动积极性,既 是 自负盈亏 又 要 受 工分 制 文件 限薪 怎么 调动 劳动 积极性,自负盈亏受工分制文件限薪调动劳动积极性
学医确实很多的初衷是利国利民，但你也不能因为这个就让为爱发电啊[哭惹R],学医确实很多的初衷是利国利民但你也不能因为这个就让为爱发电啊[哭惹],学医 确实 很多 的 初衷 是 利国利民 但 你 也 不能 因为 这个 就让 为 爱 发电 啊 [ 哭 惹 ],学医确实很多初衷利国利民就让爱发电[哭惹]
屁股决定脑袋的改革！从此会导致公立医院医疗质量、医疗服务态度一落千丈，择期手术你就老老实实等着安排吧，医护工作积极性严重受挫。准备学医的孩子和家长要好好考虑考虑了！祸国殃民！,屁股决定脑袋的改革从此会导致公立医院医疗质量医疗服务态度一落千丈择期手术你就老老实实等着安排吧医护工作积极性严重受挫准备学医的孩子和家长要好好考虑考虑了祸国殃民,屁股 决定 脑袋 的 改革 从此 会 导致 公立医院 医疗 质量 医疗 服务态度 一落千丈 择期 手术 你 就 老老实实 等 着 安排 吧 医护 工作 积极性 严重 受挫 准备 学医 的 孩子 和 家长 要 好好 考虑 考虑 了 祸国殃民,屁股脑袋改革从此会导致公立医院医疗质量医疗服务态度一落千丈择期手术老老实实安排医护工作积极性受挫学医孩子家长好好祸国殃民
这个改制的意义是为了减少以后报考医学院吗,这个改制的意义是为了减少以后报考医学院吗,这个 改制 的 意义 是 为了 减少 以后 报考 医学院 吗,改制意义减少报考医学院
2025年了还能看到“工分”这两个字，到底是我大中国地大物博无奇不有[鄙视R],2025年了还能看到工分这两个字到底是我大中国地大物博无奇不有[鄙视],2025 年 了 还 能 看到 工分 这 两个 字 到底 是 我 大 中国 地大物博 无奇不有 [ 鄙视 ],2025年还工分两个字到底大中国地大物博无奇不有[鄙视]
工分由科室主任进行二次分配，这个是最大的问题,工分由科室主任进行二次分配这个是最大的问题,工分 由 科室 主任 进行 二次 分配 这个 是 最大 的 问题,工分科室主任二次分配
中国的医生，比非洲的医生收入及地位还低,中国的医生比非洲的医生收入及地位还低,中国 的 医生 比 非洲 的 医生 收入 及 地位 还 低,中国医生非洲医生收入地位还低
到时候好医生都出国了就老实了[doge],到时候好医生都出国了就老实了[doge],到时候 好 医生 都 出国 了 就 老实 了 [ doge ],到时候好医生都出国老实[doge]
本人不巧前面刚做了相关研究，请你标明数据出处好吧，根据三明本市的数据，医改后三明市存在医护工作者一万人左右，每年离职人数40左右，和医改前并无差别。这些数据在知网都可查的，不要盲目唱衰。,本人不巧前面刚做了相关研究请你标明数据出处好吧根据三明本市的数据医改后三明市存在医护工作者一万人左右每年离职人数40左右和医改前并无差别这些数据在知网都可查的不要盲目唱衰,本人 不巧 前面 刚 做 了 相关 研究 请 你 标明 数据 出处 好 吧 根据 三明 本市 的 数据 医改 后 三明市 存在 医护 工作者 一万 人 左右 每年 离职 人数 40 左右 和 医改 前 并 无差别 这些 数据 在 知网 都 可查 的 不要 盲目 唱衰,本人不巧刚做相关研究请标明数据出处好三明本市数据医改后三明市医护工作者一万人离职人数40医改前无差别数据知网都可查盲目唱衰
说医生都跳槽到私立医院的，有没有了解过，除了大城市的顶级私立医院，普通城市的私人医院哪个不是吃医保的💰才能活的下去的[捂脸R],说医生都跳槽到私立医院的有没有了解过除了大城市的顶级私立医院普通城市的私人医院哪个不是吃医保的才能活的下去的[捂脸],说 医生 都 跳槽 到 私立 医院 的 有没有 了解 过 除了 大城市 的 顶级 私立 医院 普通 城市 的 私人 医院 哪个 不是 吃 医保 的 才能 活 的 下去 的 [ 捂脸 ],说医生都跳槽私立医院有没有大城市顶级私立医院城市私人医院吃医保才能活[捂脸]
酸医生工资高有回扣的下辈子都学医[赞R]上几个夜班就老实了,酸医生工资高有回扣的下辈子都学医[赞]上几个夜班就老实了,酸 医生 工资 高有 回扣 的 下辈子 都 学医 [ 赞 ] 上 几个 夜班 就 老实 了,酸医生工资高有回扣下辈子都学医[赞]上几个夜班老实
之前看到一条评论很贴切，“就是把医生也集采了嘛”优秀的医生可以去私立，中外合资，甚至出国，都很受欢迎。也听说今年执业医考试会简单，在鼓励一些久考不过的人报名了。但都是小道消息，大家都在观望，但还要怀着希望嘛，总归会有出路。,之前看到一条评论很贴切就是把医生也集采了嘛优秀的医生可以去私立中外合资甚至出国都很受欢迎也听说今年执业医考试会简单在鼓励一些久考不过的人报名了但都是小道消息大家都在观望但还要怀着希望嘛总归会有出路,之前 看到 一条 评论 很 贴切 就是 把 医生 也 集采 了 嘛 优秀 的 医生 可以 去 私立 中外合资 甚至 出国 都 很 受欢迎 也 听说 今年 执业 医 考试 会 简单 在 鼓励 一些 久考 不过 的 人 报名 了 但 都 是 小道消息 大家 都 在 观望 但 还要 怀着 希望 嘛 总归 会 有 出路,一条评论很贴切医生集采优秀医生去私立中外合资出国都很受欢迎听说执业医考试会简单鼓励久考人报名都小道消息都观望还要怀着希望总归会出路
因为推行的人永远不会缺医生看病，至于真的缺医生的百姓，根本决定不了什么,因为推行的人永远不会缺医生看病至于真的缺医生的百姓根本决定不了什么,因为 推行 的 人 永远 不会 缺 医生 看病 至于 真的 缺 医生 的 百姓 根本 决定 不了 什么,推行人永远缺医生看病真的缺医生百姓不了
大三甲已经有应对方式，譬如华西的应对方式是，在上锦等基础上连开多家私人出资委托华西管理的医院，医护轮岗交替在本部和托管医院上班，要硬按三明，那么托管医院部分应该可以作为应发足发渠道。只是很多60刚退年富力强的大主任大专家，肯定就不会返聘了，私立医院几倍走起吧。,大三甲已经有应对方式譬如华西的应对方式是在上锦等基础上连开多家私人出资委托华西管理的医院医护轮岗交替在本部和托管医院上班要硬按三明那么托管医院部分应该可以作为应发足发渠道只是很多60刚退年富力强的大主任大专家肯定就不会返聘了私立医院几倍走起吧,大 三甲 已经 有 应对 方式 譬如 华西 的 应对 方式 是 在 上 锦 等 基础 上连开 多家 私人 出资 委托 华西 管理 的 医院 医护 轮岗 交替 在 本部 和 托管 医院 上班 要 硬 按 三明 那么 托管 医院 部分 应该 可以 作为 应 发足发 渠道 只是 很多 60 刚退 年富力强 的 大 主任 大 专家 肯定 就 不会 返聘 了 私立 医院 几倍 走起 吧,大三甲应对方式譬如华西应对方式上锦基础上连开多家私人出资委托华西管理医院医护轮岗交替本部托管医院上班硬三明托管医院应发足发渠道很多60刚退年富力强大主任大专家肯定返聘私立医院几倍走起
最后倒霉的还是老百姓，都花高价去私立医院看。比以前还不如。,最后倒霉的还是老百姓都花高价去私立医院看比以前还不如,最后 倒霉 的 还是 老百姓 都 花 高价 去 私立 医院 看比 以前 还 不如,倒霉老百姓都花高价去私立医院看比还
不是，这个改革到底有什么意义？对患者也不好，对医生也不好。,不是这个改革到底有什么意义对患者也不好对医生也不好,不是 这个 改革 到底 有 什么 意义 对 患者 也 不好 对 医生 也 不好,改革到底意义患者不好医生不好
"三明医改对基层医院的医生是好事，这些医生大多是专科、本科的，所在医院病人少，收入也低。但对全国三甲医院，特别是顶尖的医疗机构就是灾难，这些医生一般都是博士、博士后，或者在全国甚至全球都有影响力的大专家，被限薪30万[doge] 而金融业随便上百万，网红轻轻松松几千万收入；听说过中科院上百名博士集体出逃到公司的新闻吧
	
",三明医改对基层医院的医生是好事这些医生大多是专科本科的所在医院病人少收入也低但对全国三甲医院特别是顶尖的医疗机构就是灾难这些医生一般都是博士博士后或者在全国甚至全球都有影响力的大专家被限薪30万[doge] 而金融业随便上百万网红轻轻松松几千万收入听说过中科院上百名博士集体出逃到公司的新闻吧,三明 医改 对 基层医院 的 医生 是 好事 这些 医生 大多 是 专科 本科 的 所在 医院 病人 少 收入 也 低 但 对 全国 三甲 医院 特别 是 顶尖 的 医疗机构 就是 灾难 这些 医生 一般 都 是 博士 博士后 或者 在 全国 甚至 全球 都 有 影响力 的 大 专家 被限薪 30 万 [ doge ]   而 金融业 随便 上百万 网红 轻轻松松 几千万 收入 听说 过 中科院 上 百名 博士 集体 出逃 到 公司 的 新闻 吧,三明医改基层医院医生好事医生大多专科本科所在医院病人少收入低全国三甲医院特别顶尖医疗机构灾难医生都博士博士后全国全球都影响力大专家被限薪30万[doge]金融业随便上百万网红轻轻松松几千万收入听说中科院上百名博士集体出逃公司新闻
我发帖子只是因为经常刷到网上有人想了解 三明医改后 真实的收入，包括我外地的医生朋友也一直都有在问。正好最近核算工分，发了年薪，所以就分享了一下。我发帖的时候也写明了是三明的县城的工资水平，没有想制造焦虑，各地各有不同，情况不一，我的情况只是供大家参考。,我发帖子只是因为经常刷到网上有人想了解 三明医改后 真实的收入包括我外地的医生朋友也一直都有在问正好最近核算工分发了年薪所以就分享了一下我发帖的时候也写明了是三明的县城的工资水平没有想制造焦虑各地各有不同情况不一我的情况只是供大家参考,我 发帖子 只是 因为 经常 刷到 网上 有人 想 了解   三明 医改 后   真实 的 收入 包括 我 外地 的 医生 朋友 也 一直 都 有 在 问 正好 最近 核算 工分 发了 年薪 所以 就 分享 了 一下 我 发帖 的 时候 也 写明 了 是 三明 的 县城 的 工资水平 没有 想 制造 焦虑 各地 各有不同 情况 不一 我 的 情况 只是 供 大家 参考,发帖子刷到网上有人想三明医改后真实收入包括外地医生朋友都问正好核算工分发了年薪分享发帖写明三明县城工资水平想制造焦虑各有不同情况情况供参考
念了五年本科三年硕士三年博士出来只有五千工资[汗颜R]，这还有人说工资高，再怎么说博士也算高端人才了吧，拿五千工资简直笑死人了，反正以后谁学医我笑谁[微笑R],念了五年本科三年硕士三年博士出来只有五千工资[汗颜]这还有人说工资高再怎么说博士也算高端人才了吧拿五千工资简直笑死人了反正以后谁学医我笑谁[微笑],念 了 五年 本科 三年 硕士 三年 博士 出来 只有 五千 工资 [ 汗颜 ] 这 还有 人 说 工资 高 再 怎么 说 博士 也 算 高端 人才 了 吧 拿 五千 工资 简直 笑死人 了 反正 以后 谁 学医 我 笑 谁 [ 微笑 ],念五年本科三年硕士三年博士五千工资[汗颜]人说工资高再说博士算高端人才五千工资简直笑死人反正学医笑[微笑]
我妈妈县医院收费员退休都有四千 之前上班的时候月工资六七千 还逼我现在来学医 还是大专中医 以后工资都没有她退休工资高,我妈妈县医院收费员退休都有四千 之前上班的时候月工资六七千 还逼我现在来学医 还是大专中医 以后工资都没有她退休工资高,我 妈妈 县 医院 收费员 退休 都 有 四千   之前 上班 的 时候 月工资 六七千   还 逼 我 现在 来 学医   还是 大专 中医   以后 工资 都 没有 她 退休 工资 高,妈妈县医院收费员退休都四千上班月工资六七千还逼学医大专中医工资都退休工资高
"评论太多看不过来，挑几个问题回答。
我们平常怎么发工资：我们是按照年薪制来，不讲绩效和奖金啥的。每个月先预发一部分，预发工资其实就相当于每个月的基本工资。预发工资有几个档位可以选择，我是选择最低的档位，每个月到手大概2000左右。年终会统计工分，算出这一年的年薪，把一年的年薪扣掉这一年已经预发的工资就是年底最终发的钱。如果平常预发多，年底发的钱就会少。大概是这样的。",评论太多看不过来挑几个问题回答 我们平常怎么发工资我们是按照年薪制来不讲绩效和奖金啥的每个月先预发一部分预发工资其实就相当于每个月的基本工资预发工资有几个档位可以选择我是选择最低的档位每个月到手大概2000左右年终会统计工分算出这一年的年薪把一年的年薪扣掉这一年已经预发的工资就是年底最终发的钱如果平常预发多年底发的钱就会少大概是这样的,评论 太多 看 不 过来 挑 几个 问题 回答   我们 平常 怎么 发工资 我们 是 按照 年薪制 来 不 讲 绩效 和 奖金 啥 的 每个 月 先 预发 一部分 预发 工资 其实 就 相当于 每个 月 的 基本工资 预发 工资 有 几个 档位 可以 选择 我 是 选择 最低 的 档位 每个 月 到手 大概 2000 左右 年终 会 统计 工分 算出 这 一年 的 年薪 把 一年 的 年薪 扣掉 这 一年 已经 预发 的 工资 就是 年底 最终 发 的 钱 如果 平常 预发 多 年底 发 的 钱 就 会少 大概 是 这样 的,评论太多看不挑几个回答平常发工资年薪制不讲绩效奖金月先预发一部分预发工资相当于月基本工资预发工资几个档位选择选择最低档位月到手大概2000年终会统计工分算出一年年薪一年年薪扣掉一年预发工资年底最终发钱平常预发年底发钱会少大概
高学历学医的我真的心疼你们[捂脸R]这么好的学历学个计算机什么的毕业进大厂7-80万年薪都有可能 偏偏学医 都说熬一熬 寒窗苦读十几二十年换来这么点工资....身体都不知道差成什么样了 600多的高考分换来更苦的后半生,高学历学医的我真的心疼你们[捂脸]这么好的学历学个计算机什么的毕业进大厂780万年薪都有可能 偏偏学医 都说熬一熬 寒窗苦读十几二十年换来这么点工资身体都不知道差成什么样了 600多的高考分换来更苦的后半生,高学历 学医 的 我 真的 心疼 你们 [ 捂脸 ] 这么 好 的 学历 学个 计算机 什么 的 毕业 进 大厂 780 万 年薪 都 有 可能   偏偏 学医   都 说 熬 一熬   寒窗 苦读 十几二十年 换来 这么 点 工资 身体 都 不 知道 差成 什么样 了   600 多 的 高考 分 换来 更苦 的 后半生,高学历学医真的心疼[捂脸]好学历学个计算机毕业进大厂780万年薪都偏偏学医都说熬一熬寒窗苦读十几二十年换来点工资身体都不差成600高考分换来更苦后半生
现在不是在鼓励引进外资和民营吗？不如快速混个职称然后跳槽,现在不是在鼓励引进外资和民营吗不如快速混个职称然后跳槽,现在 不是 在 鼓励 引进外资 和 民营 吗 不如 快速 混个 职称 然后 跳槽,鼓励引进外资民营快速混个职称跳槽
我哥是姜堰人民医院骨科医生，加上隐藏收入一年几百万没问题。他又帅又牛逼。是我们整个家族的荣耀。[害羞R],我哥是姜堰人民医院骨科医生加上隐藏收入一年几百万没问题他又帅又牛逼是我们整个家族的荣耀[害羞],我哥 是 姜堰 人民 医院 骨科医生 加上 隐藏 收入 一年 几百万 没 问题 他 又 帅 又 牛 逼 是 我们 整个 家族 的 荣耀 [ 害羞 ],我哥姜堰人民医院骨科医生加上隐藏收入一年几百万没帅牛逼家族荣耀[害羞]
等一下到手的六万块居然是年薪吗[哭惹R],等一下到手的六万块居然是年薪吗[哭惹],等 一下 到手 的 六万块 居然 是 年薪 吗 [ 哭 惹 ],到手六万块居然年薪[哭惹]
想知道医改之前工资水平如何呢[叹气R],想知道医改之前工资水平如何呢[叹气],想 知道 医改 之前 工资水平 如何 呢 [ 叹气 ],想医改工资水平[叹气]
别说了，坐标十八线小城市县医院，每个月绩效2000都发不出来，已经三个月没发了,别说了坐标十八线小城市县医院每个月绩效2000都发不出来已经三个月没发了,别说 了 坐标 十八 线 小 城市 县 医院 每个 月 绩效 2000 都 发 不 出来 已经 三个 月 没发 了,坐标十八线小城市县医院月绩效2000都发不三个月没发
一直强调医院的服务，一个医院在搞服务的时候，他的医疗质量一定是走下坡路的,一直强调医院的服务一个医院在搞服务的时候他的医疗质量一定是走下坡路的,一直 强调 医院 的 服务 一个 医院 在 搞 服务 的 时候 他 的 医疗 质量 一定 是 走下坡路 的,医院服务一个医院搞服务医疗质量走下坡路
都没人讲实话吗？我来。现在医护行业已经畸形，特别是大城市。医生不注重如何看好病找对策，而且注重如何服务好病人不被投诉，再者如何完成绩效。再也不是悬壶济世,都没人讲实话吗我来现在医护行业已经畸形特别是大城市医生不注重如何看好病找对策而且注重如何服务好病人不被投诉再者如何完成绩效再也不是悬壶济世,都 没人 讲 实话 吗 我 来 现在 医护 行业 已经 畸形 特别 是 大城市 医生 不 注重 如何 看好 病找 对策 而且 注重 如何 服务 好 病人 不 被 投诉 再者 如何 完成 绩效 再也 不是 悬壶济世,都没人讲实话医护行业畸形特别大城市医生不注重看好病找对策注重服务好病人不投诉绩效再也悬壶济世
只干活 不给钱 不就是这个道理,只干活 不给钱 不就是这个道理,只 干活   不 给钱   不 就是 这个 道理,只干活不给钱不道理
这不合适吧，相同职称的人，有人做得多，有人做得少，如果按职称分配而不是按劳分配，会降低工作积极性吧,这不合适吧相同职称的人有人做得多有人做得少如果按职称分配而不是按劳分配会降低工作积极性吧,这 不 合适 吧 相同 职称 的 人 有人 做 得 多 有人 做 得 少 如果 按 职称 分配 而 不是 按劳分配 会 降低 工作 积极性 吧,不合适职称人有人做有人做少职称分配按劳分配会降低工作积极性
想问一下提高工作效率是什么原理，想马儿跑又不给马吃草,想问一下提高工作效率是什么原理想马儿跑又不给马吃草,想 问 一下 提高 工作效率 是 什么 原理 想 马儿跑 又 不 给 马 吃 草,想问提高工作效率原理想马儿跑不马吃草
,,,
以后医护人员只讲究对你笑脸相迎，不再追求好好为你看病，老百姓是高兴了[doge]去医院得到了无比贴心的服务，实际上病情反而没有得到更好的解决，我倒宁愿医生对我屌屌的但是是有真材实料的水平。,以后医护人员只讲究对你笑脸相迎不再追求好好为你看病老百姓是高兴了[doge]去医院得到了无比贴心的服务实际上病情反而没有得到更好的解决我倒宁愿医生对我屌屌的但是是有真材实料的水平,以后 医护人员 只 讲究 对 你 笑脸相迎 不再 追求 好好 为 你 看病 老百姓 是 高兴 了 [ doge ] 去 医院 得到 了 无比 贴心 的 服务 实际上 病情 反而 没有 得到 更好 的 解决 我 倒 宁愿 医生 对 我 屌 屌 的 但是 是 有 真材实料 的 水平,医护人员只讲究笑脸相迎不再追求好好看病老百姓[doge]去医院无比贴心服务实际上病情反而更好解决倒医生屌屌真材实料水平
这么说吧，都喜欢便宜药是吧，以后你想要进口药医生都开不出来，国产药2块和进口药70块，你看看2块能不能达到70的效果[飞吻R][飞吻R]你看看10w的医护和20.30w的医护有什么区别[飞吻R],这么说吧都喜欢便宜药是吧以后你想要进口药医生都开不出来国产药2块和进口药70块你看看2块能不能达到70的效果[飞吻][飞吻]你看看10w的医护和2030w的医护有什么区别[飞吻],这么 说 吧 都 喜欢 便宜 药是 吧 以后 你 想要 进口药 医生 都 开 不 出来 国产 药 2 块 和 进口药 70 块 你 看看 2 块 能 不能 达到 70 的 效果 [ 飞吻 ] [ 飞吻 ] 你 看看 10w 的 医护 和 2030w 的 医护 有 什么 区别 [ 飞吻 ],说都喜欢便宜药是想要进口药医生都开不国产药2块进口药70块2块70效果[飞吻][飞吻]10w医护2030w医护区别[飞吻]
那以后我们普通人岂不是更看不上病了？原来医生为了绩效加班加点，现在到点下班？该做的手术能推就推，有背景有关系的才给开药治病？,那以后我们普通人岂不是更看不上病了原来医生为了绩效加班加点现在到点下班该做的手术能推就推有背景有关系的才给开药治病,那 以后 我们 普通人 岂 不是 更 看不上 病 了 原来 医生 为了 绩效 加班加点 现在 到 点 下班 该 做 的 手术 能 推 就 推有 背景 有 关系 的 才 给 开药 治病,普通人岂更看不上病医生绩效加班加点点下班做手术推推有背景关系才开药治病
读书的时候说的是同工同酬多劳多得，工作了这个b样,读书的时候说的是同工同酬多劳多得工作了这个b样,读书 的 时候 说 的 是 同工同酬 多劳多得 工作 了 这个 b 样,读书说同工同酬多劳多得工作b样
还有145天就退休了，再见DRG再见KPI,还有145天就退休了再见drg再见kpi,还有 145 天 就 退休 了 再见 drg 再见 kpi,145天退休再见drg再见kpi
这么说那对于私立简直不要太友好了啊，公立不收治那病人就只能选私立了，努力赚钱吧！不然药店的药我都要买不起了[失望R],这么说那对于私立简直不要太友好了啊公立不收治那病人就只能选私立了努力赚钱吧不然药店的药我都要买不起了[失望],这么 说 那 对于 私立 简直 不要 太 友好 了 啊 公立 不 收治 那 病人 就 只能 选 私立 了 努力 赚钱 吧 不然 药店 的 药 我 都 要 买不起 了 [ 失望 ],说私立简直太友好公立不收治病人只能选私立努力赚钱药店药都买不起[失望]
想请三明居民谈谈真实的就医体验,想请三明居民谈谈真实的就医体验,想 请 三明 居民 谈谈 真实 的 就医 体验,想请三明居民谈谈真实就医体验
三明是福建经济最发达的地区吗？如果不是这个三明医改能好个锤子。本质上就是极端压减成本的行为。至于治病那不重要，省钱是第一位。,三明是福建经济最发达的地区吗如果不是这个三明医改能好个锤子本质上就是极端压减成本的行为至于治病那不重要省钱是第一位,三明 是 福建 经济 最 发达 的 地区 吗 如果 不是 这个 三明 医改 能 好 个 锤子 本质 上 就是 极端 压减 成本 的 行为 至于 治病 那 不 重要 省钱 是 第一位,三明福建经济最发达地区三明医改好锤子本质上极端压减成本治病不省钱第一位
三明医改，集采，核心目的是省钱，把你治好并不是医保的kpi,三明医改集采核心目的是省钱把你治好并不是医保的kpi,三明 医改 集采 核心 目的 是 省钱 把 你治好 并 不是 医保 的 kpi,三明医改集采核心目的省钱你治好医保kpi
凡事看目的，初衷如果是为省钱，说有再多好处，那都是……,凡事看目的初衷如果是为省钱说有再多好处那都是,凡事 看 目的 初衷 如果 是 为 省钱 说 有 再 多 好处 那 都 是,凡事看目的初衷省钱说再好处都
